species,sci_name,mass,trophic_niche1,trophic_niche2
Northern Shrike,Lanius borealis,63.4,Vertivore,Insessorial
Northern Waterthrush,Parkesia noveboracensis,16.3,Invertivore,Terrestrial
Northwestern Crow,Corvus brachyrhynchos,448.8,Omnivore,Terrestrial
Nuttall's Woodpecker,Dryobates nuttallii,37.4,Invertivore,Insessorial
Oak Titmouse,Baeolophus inornatus,15.9,Invertivore,Insessorial
Olive-sided Flycatcher,Contopus cooperi,32.1,Invertivore,Insessorial
Olive Sparrow,Arremonops rufivirgatus,22.4,Omnivore,Generalist
Orange-crowned Warbler,Leiothlypis celata,9.2,Invertivore,Insessorial
Orchard Oriole,Icterus spurius,19.4,Invertivore,Insessorial
Osprey,Pandion haliaetus,1483.2,Aquatic predator,Aerial
Ovenbird,Seiurus aurocapilla,18.8,Invertivore,Terrestrial
Pacific-slope Flycatcher,Empidonax difficilis,10.7,Invertivore,Insessorial
Pacific Golden-Plover,Pluvialis fulva,134.9,Omnivore,Terrestrial
Pacific Wren,Troglodytes pacificus,9.4,Invertivore,Insessorial
Painted Bunting,Passerina ciris,15.5,Granivore,Terrestrial
Palm Warbler,Setophaga palmarum,10.3,Invertivore,Insessorial
Pectoral Sandpiper,Calidris melanotos,79.7,Aquatic predator,Terrestrial
Pelagic Cormorant,Urile pelagicus,1844,Aquatic predator,Aquatic
Peregrine Falcon,Falco peregrinus,760,Vertivore,Aerial
Phainopepla,Phainopepla nitens,22.1,Frugivore,Insessorial
Philadelphia Vireo,Vireo philadelphicus,11.5,Invertivore,Insessorial
Pied-billed Grebe,Podilymbus podiceps,411.9,Aquatic predator,Aquatic
Pigeon Guillemot,Cepphus columba,530,Aquatic predator,Aquatic
Pileated Woodpecker,Dryocopus pileatus,286.6,Invertivore,Insessorial
Pine Grosbeak,Pinicola enucleator,56.4,Omnivore,Insessorial
Pine Siskin,Spinus pinus,12.7,Granivore,Insessorial
Pine Warbler,Setophaga pinus,11.8,Invertivore,Insessorial
Pinyon Jay,Gymnorhinus cyanocephalus,104.8,Omnivore,Generalist
Plumbeous Vireo,Vireo plumbeus,16.4,Invertivore,Insessorial
Prairie Falcon,Falco mexicanus,713.1,Vertivore,Aerial
Prairie Warbler,Setophaga discolor,7.6,Invertivore,Insessorial
